Auction Type,Auction ID,Lot Number,Estimate,Sale,Emperor,Denomination,Diameter,Weight,Orientation,Mint,RIC,Grade,Broad Flan,Lusterous,Toned,Attractively Toned,Cabinet Toning,Quality Portrait,Rare,Centered,Off Center,Marks,Deposits,Flan Flaw,Hairlines,Die Break,Surface Flaws,Roughness,Tooled,Die Rust,Corrosion,Porosity,Scratches,Edge Test,Surface Test,Edge Splits,PVC Residue,Weak Strike,Edge Chip
PA,Triton XXII,Lot: 977,2000,3000,Augustus,Denarius,NA,NA,NA,NA,RIC I 51,EF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 978,1500,2250,Augustus,Denarius,NA,NA,NA,NA,RIC I 69,EF,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 979,1000,2250,Augustus,Denarius,NA,NA,NA,NA,RIC I 86,EF,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 980,1000,2250,Augustus,Denarius,NA,NA,NA,NA,RIC I 99,EF,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 981,2000,2100,Augustus,Denarius,NA,NA,NA,NA,RIC I 102,EF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 982,1500,2300,Augustus,Denarius,NA,NA,NA,NA,RIC I 105,EF,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 983,1000,2050,Augustus,Denarius,NA,NA,NA,NA,RIC I 167,EF,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 984,750,1500,Augustus,Denarius,NA,NA,NA,NA,RIC I 207,EF,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXII,Lot: 986,5000,4500,Augustus,Denarius,NA,NA,NA,NA,RIC I 338,Choice EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 600,500,360,Augustus,Denarius,NA,NA,NA,NA,RIC I 475,VF,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
PA,CNG 109,Lot: 599,1000,800,Augustus,Denarius,NA,NA,NA,NA,RIC I 410,Good VF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 598,2000,2400,Augustus,Denarius,NA,NA,NA,NA,RIC I 408,Good VF,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 597,2000,7500,Augustus,Denarius,NA,NA,NA,NA,RIC I 407,EF,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 596,3000,2700,Augustus,Denarius,NA,NA,NA,NA,RIC I 403,VF,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
PA,CNG 109,Lot: 595,1000,2000,Augustus,Denarius,NA,NA,NA,NA,RIC I 340,VF,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 594,1000,1500,Augustus,Denarius,NA,NA,NA,NA,RIC I 338,EF,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 
PA,CNG 109,Lot: 593,300,220,Augustus,Denarius,NA,NA,NA,NA,RIC I 288,Good VF,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 592,1000,800,Augustus,Denarius,NA,NA,NA,NA,RIC I 288,EF,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
PA,CNG 109,Lot: 591,2000,2750,Augustus,Denarius,NA,NA,NA,NA,RIC I 283,EF,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 590,500,300,Augustus,Denarius,NA,NA,NA,NA,RIC I 318,VF,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 589,500,320,Augustus,Denarius,NA,NA,NA,NA,RIC I 300,VF,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
PA,CNG 109,Lot: 587,750,600,Augustus,Denarius,NA,NA,NA,NA,RIC I 207,EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 585,500,300,Augustus,Denarius,NA,NA,NA,NA,RIC I 199,VF,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 583,750,800,Augustus,Denarius,NA,NA,NA,NA,RIC I 171,EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
PA,CNG 109,Lot: 582,500,700,Augustus,Denarius,NA,NA,NA,NA,RIC I 165,Good VF,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 581,500,425,Augustus,Denarius,NA,NA,NA,NA,RIC I 126,VF,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 580,750,1100,Augustus,Denarius,NA,NA,NA,NA,RIC I 86,EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 579,500,600,Augustus,Denarius,NA,NA,NA,NA,RIC I 86,Good VF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 109,Lot: 578,500,475,Augustus,Denarius,NA,NA,NA,NA,RIC I 33,VF,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
PA,CNG 108,Lot: 562,1000,1100,Augustus,Denarius,NA,NA,NA,NA,RIC I 358,VF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 
PA,CNG 108,Lot: 561,1000,1200,Augustus,Denarius,NA,NA,NA,NA,RIC I 220,EF,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 108,Lot: 559,1000,950,Augustus,Denarius,NA,NA,NA,NA,RIC I 210,EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 108,Lot: 557,750,800,Augustus,Denarius,NA,NA,NA,NA,RIC I 40,EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,CNG 108,Lot: 556,1500,1490,Augustus,Denarius,NA,NA,NA,NA,RIC I 40,EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 
PA,CNG 108,Lot: 555,3000,2750,Augustus,Denarius,NA,NA,NA,NA,RIC I 38,EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
PA,Triton XXI,Lot: 688,1500,2000,Augustus,Denarius,NA,NA,NA,NA,RIC I 36,Superb EF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
